Data - PETRI304;Fechamento
06/09/2021;0,1
03/09/2021;0,09
02/09/2021;0,14
01/09/2021;0,2
31/08/2021;0,3
30/08/2021;0,6
27/08/2021;0,68
26/08/2021;0,37
25/08/2021;0,4
24/08/2021;0,39
23/08/2021;0,34
20/08/2021;0,27
19/08/2021;0,3
18/08/2021;0,39
17/08/2021;0,44
16/08/2021;0,48
13/08/2021;0,71
12/08/2021;0,65
11/08/2021;0,54
10/08/2021;0,42
09/08/2021;0,4
06/08/2021;0,54
05/08/2021;0,58
04/08/2021;0,26
03/08/2021;0,31
02/08/2021;0,27
30/07/2021;0,33
29/07/2021;0,5
28/07/2021;0,51
27/07/2021;0,43
26/07/2021;0,42
23/07/2021;0,34
22/07/2021;0,39
21/07/2021;0,39
20/07/2021;0,37
19/07/2021;0,32
16/07/2021;0,4
15/07/2021;0,48
14/07/2021;0,63
13/07/2021;0,78
12/07/2021;0,74
08/07/2021;0,75
07/07/2021;0,95
06/07/2021;0,96
05/07/2021;1,35
02/07/2021;1,32
01/07/2021;1,38
30/06/2021;1,48
29/06/2021;1,45
28/06/2021;1,32
25/06/2021;1,46
24/06/2021;1,52
23/06/2021;1,74
22/06/2021;1,4
17/06/2021;1,12
16/06/2021;1,52
18/05/2021;1,01
